BJD        , RV[km/s], unc[km/s]
50972.4478 , -14.51 , 0.01
50969.5355 , -14.385 , 0.01
50911.6163 , -14.529 , 0.01
50942.5469 , -14.4 , 0.01
50970.5599 , -14.412 , 0.01
50940.4987 , -14.467 , 0.01
50941.5034 , -14.513 , 0.01
50967.4792 , -14.556 , 0.01
50912.612 , -14.393 , 0.01
50973.5709 , -14.397 , 0.01
50939.5969 , -14.407 , 0.01
50943.504 , -14.428 , 0.01
50967.5947 , -14.562 , 0.01
50940.6216 , -14.476 , 0.01
50888.6617 , -14.5 , 0.01
50890.6608 , -14.377 , 0.01
50885.675 , -14.411 , 0.01
50862.6995 , -14.505 , 0.01
50887.659 , -14.5 , 0.01
50886.7027 , -14.368 , 0.01
50889.6725 , -14.37 , 0.01
50859.7166 , -14.399 , 0.01
50858.703 , -14.502 , 0.01
50863.6907 , -14.373 , 0.01
50860.6967 , -14.411 , 0.01
