BJD        , RV[km/s], unc[km/s]
51421.3152 , -14.428 , 0.01
51422.3135 , -14.35 , 0.01
50768.2369 , -14.431 , 0.01
51390.4236 , -14.502 , 0.01
51423.3284 , -14.538 , 0.01
52197.2805 , -14.462 , 0.01
50681.335 , -14.372 , 0.01
51392.4088 , -14.436 , 0.01
51023.3972 , -14.34 , 0.01
51355.5478 , -14.528 , 0.01
52194.2977 , -14.39 , 0.01
50734.3377 , -14.383 , 0.01
51023.4098 , -14.384 , 0.01
51359.4592 , -14.553 , 0.01
51418.4042 , -14.364 , 0.01
50731.3394 , -14.438 , 0.01
52196.314 , -14.553 , 0.01
50702.3044 , -14.536 , 0.01
51354.4735 , -14.476 , 0.01
52193.3228 , -14.49 , 0.01
52195.3181 , -14.491 , 0.01
51358.4906 , -14.48 , 0.01
50972.4478 , -14.51 , 0.01
51353.5001 , -14.388 , 0.01
50681.4644 , -14.398 , 0.01
50700.3432 , -14.345 , 0.01
50701.3619 , -14.539 , 0.01
50969.5355 , -14.385 , 0.01
50730.3411 , -14.396 , 0.01
50911.6163 , -14.529 , 0.01
50942.5469 , -14.4 , 0.01
50970.5599 , -14.412 , 0.01
50940.4987 , -14.467 , 0.01
50941.5034 , -14.513 , 0.01
50967.4792 , -14.556 , 0.01
50912.612 , -14.393 , 0.01
50973.5709 , -14.397 , 0.01
51692.5094 , -14.385 , 0.01
50939.5969 , -14.407 , 0.01
50943.504 , -14.428 , 0.01
50967.5947 , -14.562 , 0.01
50582.6062 , -14.412 , 0.01
50940.6216 , -14.476 , 0.01
50589.5855 , -14.389 , 0.01
50587.5902 , -14.569 , 0.01
50888.6617 , -14.5 , 0.01
50890.6608 , -14.377 , 0.01
50583.6157 , -14.53 , 0.01
50885.675 , -14.411 , 0.01
50862.6995 , -14.505 , 0.01
50887.659 , -14.5 , 0.01
50886.7027 , -14.368 , 0.01
50889.6725 , -14.37 , 0.01
50859.7166 , -14.399 , 0.01
50858.703 , -14.502 , 0.01
50863.6907 , -14.373 , 0.01
50860.6967 , -14.411 , 0.01
51655.6453 , -14.539 , 0.01
