      JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16091.925,      1.89333,      1.39038,      1.15367
       16091.932,      4.12046,      1.37412,     0.910022
       16091.939,     -1.37830,      1.37984,      1.05090
       16091.946,      3.23434,      1.38981,     0.986089
       16094.960,      1.50092,      1.37036,     0.811376
       16112.937,     -1.90312,      1.05874,     0.696241
       16112.944,     -1.50890,      1.01169,     0.526227
       16112.952,      2.52360,      1.06868,     0.340642
       16113.833,     0.611378,     0.991548,     0.529163
       16113.841,    -0.722895,      1.05814,     0.535471
       16113.848,    -0.712169,     0.925913,     0.533578
       16113.855,    0.0231760,      1.02689,     0.828324
       16113.862,      2.07903,      1.03590,      1.33671
       16113.869,     0.695429,      1.03663,      1.39173
       16115.850,      3.30373,     0.945584,      1.53980
       16115.857,      1.48010,      1.02855,      1.73509
       16115.864,      1.33909,     0.985858,      2.01517
       16115.871,      4.08338,     0.952288,      2.18046
       16115.879,      3.12876,      1.08061,      2.23010
       16115.886,      2.24023,      1.07951,      2.24954
       16116.836,      1.42524,      1.01960,      2.11957
       16116.843,      2.36867,      1.04612,      2.38708
       16116.850,      1.84136,      1.03882,      2.33515
       16116.858,      2.62507,      1.03091,      2.04243
       16116.865,     0.909296,      1.00927,      1.88466
       16116.872,      1.87408,      1.02582,      2.06738
       16117.888,      4.42266,     0.950428,      2.00716
       16117.895,     0.767939,      1.09964,      2.14703
       16117.902,     0.863432,      1.05404,      2.25049
       16117.910,      1.39333,      1.09913,      1.86299
       16117.917,      4.25010,      1.13000,      1.89099
       16117.924,     0.762784,      1.11575,      1.97084
       16118.837,      3.90732,     0.907030,      1.56667
       16118.845,      2.97934,      1.01073,      1.80329
       16118.852,     -1.63736,      1.05104,      1.88518
       16118.859,      1.21725,      1.04078,      1.86964
       16118.866,      2.75243,     0.971639,      1.53534
       16118.873,   -0.0232342,     0.923758,      1.56073
       16119.881,      3.37081,     0.904636,      1.42737
       16119.888,      1.76426,     0.986888,      1.04043
       16119.896,      1.22238,     0.913191,      1.68499
       16119.918,     0.572794,     0.921374,      1.74132
       16119.925,      1.04202,     0.920564,      1.43709
       16119.932,      2.44039,     0.939332,      1.63490
       16120.841,     -1.27701,      1.27247,      1.31194
       16120.848,      5.45287,      1.21085,      1.40646
       16120.855,      1.83681,      1.20166,      1.43744
       16120.863,    -0.594117,      1.18431,      1.75238
       16120.870,      2.15272,      1.19515,      2.05331
       16120.877,    -0.181796,      1.22526,      1.91943
       16121.808,      2.80400,      1.04669,      2.34052
       16121.815,      1.56322,      1.09352,      1.97193
       16121.822,      4.03708,      1.41581,      2.00436
       16121.829,      4.35225,      1.37853,      2.38966
       16121.837,     0.967742,      1.41660,      2.47457
       16121.844,      3.35497,      1.24964,      2.60927
       16123.813,      1.39833,     0.913112,      2.54078
       16123.820,      2.19359,     0.949401,      2.75804
