     JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s]
       16241.718,     -4.70108,     0.976484,     -3.86221
       16241.729,     -5.73260,     0.964819,     -3.76066
       16241.739,     -5.05161,     0.924722,     -3.84671
       16241.750,     -1.20859,     0.984170,     -3.68407
       16242.716,     -1.11321,     0.925615,     -3.21545
       16242.726,     -3.09595,     0.983685,     -3.11508
       16242.737,     -3.52387,      1.02809,     -2.93885
       16242.748,     -5.44090,      1.00868,     -2.70751
       16243.663,     -3.39548,     0.998892,     -2.39591
       16243.673,      1.26764,     0.998500,     -2.40481
       16243.684,     -2.27026,     0.978303,     -2.57893
       16243.694,     -2.76253,     0.927576,     -2.67160
       16244.630,     -3.18788,     0.986943,     -2.57910
       16244.641,     -1.62399,     0.969470,     -2.11247
       16244.651,     -1.30649,     0.986118,     -1.85195
       16244.662,     -3.02857,     0.963188,     -1.54557
       16245.665,     -4.11525,     0.974817,     -1.31575
       16245.675,     -2.50642,      1.03019,    -0.932176
       16245.685,    -0.307931,      1.01876,    -0.490192
       16245.695,    -0.529743,      1.03071,    -0.333423
       16248.621,      4.63778,     0.975112,   -0.0449797
       16248.632,     0.257786,     0.938040,     0.180997
       16248.643,      1.45679,     0.974574,     0.564517
       16248.653,      1.67394,     0.946789,     0.841486
       16249.664,     0.100463,      1.03342,      1.14794
       16250.712,      1.86639,     0.909912,      1.17375
       16250.723,    -0.542826,     0.941895,     0.868897
       16250.734,     0.103470,     0.975533,      1.06506
       16250.744,     0.540226,     0.892414,      1.16026
       16251.604,      3.06304,     0.928829,      1.29885
       16251.615,    -0.245798,     0.915605,      1.52982
       16251.625,      1.28439,     0.987618,      1.48492
       16251.636,      2.41561,     0.929312,      1.44203
       16253.649,      2.50391,     0.870688,      1.47903
       16253.658,      3.19843,     0.958511,      1.66033
       16253.668,      2.64119,     0.908353,      1.60894
       16253.678,      1.37243,     0.930579,      1.64309
       16254.666,     -1.01452,      1.00340,      1.38401
       16254.676,     0.510465,      1.06036,      1.05625
       16254.686,      2.53453,     0.984779,     0.967863
       16254.696,      2.49766,     0.998622,     0.399086
       16256.704,     0.129911,     0.966278,   -0.0513399
       16256.715,     -1.56550,     0.980326,    -0.424572
       16256.725,     -1.18977,     0.976192,    -0.745435
       16256.736,      1.53166,     0.995978,    -0.871255
       16257.666,     -3.05811,     0.927906,     -1.19227
       16257.677,     -2.31349,      1.06025,     -1.68939
       16257.687,     -2.73313,     0.971589,     -2.04233
       16257.698,     -4.54400,     0.984035,     -2.10211
       16259.595,    -0.873552,      1.00756,     -2.44810
       16259.605,    -0.996631,     0.968991,     -2.86934
       16259.614,     -2.97069,     0.989749,     -2.84300
       16259.623,     -3.75239,      1.04781,     -2.95650
       16262.600,     -2.22305,     0.995467,     -3.00683
       16262.610,     -4.99566,      1.10236,     -2.87729
       16262.620,     -3.10202,      1.08556,     -3.11591
       16262.630,     -2.76842,      1.10115,     -3.40070
       16263.589,     -3.56193,      1.12716,     -3.76369
       16263.600,     -3.28675,      1.10513,     -3.91454
       16263.610,     -3.11909,      1.08642,     -4.00290
       16263.621,     -3.49840,      1.00918,     -3.84582
       16264.577,     -4.12929,      1.12120,     -3.74194
       16264.587,     -6.96359,      1.21898,     -3.81404
       16264.598,     -5.41168,      1.16121,     -3.86208
       16264.609,     -3.19506,      1.29047,     -3.89227
       16265.615,     -3.26784,      1.01401,     -3.77539
       16265.625,     -1.95931,      1.00439,     -3.47028
       16265.636,     -3.56152,      1.03910,     -3.22351
       16265.646,     -4.09035,      1.09609,     -2.63318
       16266.570,     -3.61884,     0.965246,     -2.15808
       16266.581,     -1.83346,      1.07383,     -1.87846
       16266.592,    -0.142176,      1.00878,     -1.58707
       16266.602,     -1.41475,      1.09888,     -1.73874
       16268.556,    -0.470019,     0.966427,     -1.56428
       16268.564,    -0.185528,     0.963589,     -1.50027
       16268.572,    -0.119261,      1.00644,     -1.24123
       16268.580,   -0.0625863,     0.985202,     -1.13682
       16269.601,     -3.62765,     0.946818,     -1.03993
       16269.611,     -1.64247,     0.976497,     -1.08364
       16269.621,     -3.38624,     0.927828,     -1.19670
       16270.539,    -0.769359,     0.999748,     -1.16634
       16270.548,    -0.684963,      1.02270,     -1.31625
       16270.558,     0.923563,      1.04175,     -1.36077
       16270.568,     -1.89557,      1.02254,    -0.995088
       16271.593,     -1.71360,     0.961356,    -0.774951
       16271.603,     0.148424,     0.913737,    -0.335404
       16271.614,     -1.76834,     0.950863,    -0.238385
       16271.624,    -0.552291,      1.01813,   -0.0790925
       16276.531,     0.394859,     0.909888,    -0.131620
       16276.554,     0.779040,     0.858949,   0.00590192
