     JD - 2.44e6,     RV [m/s], RV ERR [m/s], SMOOTH RV [m/s] 
       16502.820,     -4.44855,      1.08677,     -4.22475
       16502.843,     -6.10417,      1.00317,     -4.06560
       16504.782,     -3.04065,     0.942409,     -3.92875
       16504.798,     -3.78155,     0.909716,     -3.72806
       16504.841,     -5.24269,     0.962447,     -3.69040
       16505.869,     -3.96424,     0.970502,     -3.88102
       16505.944,     -3.54752,     0.848185,     -3.83184
       16506.807,     -3.97824,     0.908000,     -3.57178
       16506.900,     -1.76835,     0.906667,     -3.58144
       16506.920,     -2.64859,     0.891497,     -3.43044
       16508.772,     -4.16662,     0.865585,     -3.23607
       16508.839,     -3.90760,      1.02329,     -3.04132
       16509.761,     -3.24355,     0.949209,     -3.05733
       16509.851,     -3.14693,     0.940434,     -3.01387
       16509.913,     -2.12054,     0.941453,     -2.86422
       16509.924,     -3.10463,     0.968233,     -2.73295
       16509.934,     -1.82198,     0.970938,     -2.44424
       16509.945,     -3.72364,      1.05723,     -2.17726
       16510.823,     -3.50016,     0.913540,     -2.15338
       16510.835,    -0.122148,      1.02147,     -1.90550
       16510.881,     -1.20463,      1.00644,     -1.73607
       16510.891,    -0.990807,     0.963124,     -1.22560
       16510.952,    -0.970828,     0.961994,     -1.16095
       16511.791,     -2.98091,      1.23402,    -0.695540
       16511.799,    -0.420187,      2.07151,    -0.408287
       16512.875,    -0.256794,     0.937162,    -0.475516
       16512.885,      2.51050,     0.989229,    -0.315853
       16512.919,     -1.11083,     0.966006,    -0.371491
       16513.833,      1.39585,     0.911114,    -0.399136
       16513.934,    -0.340371,     0.933598,    -0.280861
       16514.751,    -0.861674,     0.893606,    -0.341928
       16514.948,     0.551669,     0.863334,    -0.278586
       16515.744,     -1.60283,     0.813492,    -0.582679
       16515.837,     -1.27492,     0.881476,    -0.681454
       16516.782,     -1.67988,     0.966898,    -0.911350
       16516.822,     -1.09193,     0.920033,     -1.10196
       16516.847,     0.439971,      1.05877,     -1.29418
       16516.858,    -0.834523,     0.958889,     -1.49675
       16516.888,     -2.19735,     0.919877,     -1.47042
       16516.910,     -1.13301,     0.956518,     -1.76706
       16516.919,     -2.43708,      1.06538,     -1.66393
       16517.748,     -2.97611,      1.00722,     -1.61935
       16517.859,     -1.67654,     0.936679,     -1.91006
       16517.923,     -1.31324,     0.852041,     -1.90133
       16517.934,     -4.53801,     0.888647,     -2.12353
       16518.731,    -0.545465,     0.813027,     -2.17315
       16518.802,    -0.601517,     0.853634,     -2.08775
       16518.842,     -2.75781,     0.997255,     -1.97077
       16518.849,    -0.738467,     0.967233,     -2.23092
       16518.901,     -4.64157,     0.913681,     -2.34630
       16518.909,     -1.67887,     0.958667,     -2.09491
       16518.918,     -1.49761,     0.967235,     -2.12907
       16519.776,     -1.68941,     0.868431,     -2.26237
       16519.836,     -4.53820,     0.900724,     -2.33217
       16519.863,     -2.58232,      1.06140,     -2.62593
       16519.871,     -1.77277,      1.02624,     -2.48416
       16519.938,    -0.921210,     0.978702,     -2.39718
       16520.728,     -2.06782,     0.913282,     -2.38520
       16520.845,     -3.52557,     0.993516,     -2.46751
       16520.937,     -3.96992,     0.908815,     -2.41517
       16521.719,     -3.08210,     0.913371,     -2.44854
       16521.763,    -0.722062,     0.986073,     -2.74778
       16521.770,     -1.36583,     0.993017,     -2.96322
       16521.869,     -2.59480,     0.943698,     -2.98488
       16521.912,     -3.96246,      1.05930,     -2.94550
       16522.744,     -2.94941,     0.946712,     -3.11532
       16522.792,     -5.06436,     0.897934,     -2.99618
       16522.847,     -3.29104,     0.974279,     -3.29791
       16522.929,     -2.30615,     0.873872,     -3.58945
       16523.726,     -3.09233,     0.924871,     -3.55113
       16523.777,     -5.83795,     0.884443,     -3.35330
       16523.821,     -1.77159,     0.899095,     -3.31013
       16523.889,     -4.04113,     0.963519,     -2.91865
       16524.716,     -4.57270,     0.974015,     -2.89413
       16524.795,     -2.17335,      1.00629,     -2.93313
       16524.880,     -1.78624,      1.01756,     -2.77101
       16524.934,     -2.47459,      1.12415,     -2.48530
       16525.713,    -0.758064,     0.890257,     -2.59269
       16525.760,     -3.02137,     0.924881,     -2.33938
       16525.827,     -2.73507,     0.893569,     -2.17731
       16525.880,     -1.30907,     0.944587,     -2.18692
       16526.730,     -2.69513,     0.883042,     -2.25338
       16526.782,     -2.95289,     0.997143,     -2.44070
       16526.838,     -1.25468,     0.991887,     -2.96166
       16526.924,     -2.78998,     0.975248,     -2.87211
       16529.729,     -2.27907,     0.928197,     -2.89040
       16529.785,     -2.51733,     0.879053,     -2.99246
       16529.829,     -4.53510,     0.974945,     -3.04136
       16529.908,     -6.48856,     0.926118,     -3.14670
       16530.689,     -2.03637,      1.05493,     -3.31793
       16530.777,     -2.93619,     0.960833,     -3.34210
       16530.864,     -2.43176,     0.922868,     -3.48904
       16531.706,     -3.23304,     0.930160,     -3.53928
       16531.806,     -4.11165,     0.866742,     -3.40286
       16531.899,     -3.13814,     0.918212,     -3.09488
       16532.713,     -3.05591,      1.00283,     -3.25002
       16532.767,     -3.89538,     0.994546,     -3.24836
